cid,pinyin,native,school,sxc,map,note
P22,Tianchu,天厨,B,5,6,
P17,Wudizuo,五帝内座,B,5,5,
P20,Chuanshe,传舍,B,9,7,
P12,Tianzhu,天柱,B,5,5,
P15,Liujia,六甲,B,6,5,
P18,Huagai,華蓋,B,7,7,"+6 UNACCOUNTED · ""is it Gang? the character is absent"""
P19,Gang,杠,B,9,0,"Chen Zhuo HAS it, appended to Huagai · 9 vs the map's 6"
P14,Gouchen,钩陈,R,5,6,
,NI 1,—,R,0,1,"one star, NO CHARACTER, east of Gouchen"
P16,Tianhuang,天皇大帝,B,1,4,
P05,Ziwei E wall,紫微東垣,M,8,8,"14 R + 1 B over both walls · 8 + 7 = 15, closes"
P06,Ziwei W wall,紫微西垣,M,7,7,
P10,Zhuxiashi,柱史,R,1,1,
P09,Nushi,女史,R,1,1,
P24,Tianpei,天棓,M,5,5,"""5 R, 1 B?"" — the SECOND mixed asterism"
P08,Shangshu,尚书,B,5,5,
P01,Beiji,北极,R,5,4,"+3 black unlabelled · a RED NON-ENCIRCLED star, erased"
P02,Sifu,四辅,B,4,4,
P21,Neijie,内阶,B,6,6,
P23,Bagu,八谷,B,8,8,
P25,Tianchuang,天床,B,6,4,
P04,Taiyi,太一,B,1,1,
P03,Tianyi,天一,B,1,1,
P28,Sangong (Wuxian),三公,B,3,3,Chen Zhuo files it under WU XIAN (white); the map draws it BLACK
P34,Sangong (Gan),三公,B,3,3,
P39,Tianqiang,天枪,R,3,3,
P37,Beidou,北斗,R,8,7,
P36,Tianli,天理,B,4,4,
P27,Wenchang,文昌,R,6,5,
P35,Xuange,玄戈,R,1,1,
P33,Xiang,相,R,1,1,
P31,Taiyangshou,太阳守,R,1,1,
P32,Shi,势,B,4,4,
P30,Tianlao,天牢,R,6,6,
