cid,pinyin,native,gloss,school,sxc,map,confidence,defect
19H,Wuche + Sanzhu,五車+三柱,five chariots + three poles,R,14,14,5,
19E,Zhuwang,諸王,several princes,R,6,5,5,
20C,Zuoqi,左旗,left banner,B,9,8,5,Table 4 writes 左旗; Chen Zhuo writes 坐旗
22E,Tianzun,天樽,celestial wine cup,B,3,3,1,
19F,Tiangao,天高,celestial high terrace,W,4,4,4,"reference mansion Bi is on MAP 4, not this one"
22A,Jing,井,eastern well,W,8,8,5,
19O,Shenqi,參旗,Shen banner,R,9,6,5,
20A,Zui,觜,bird beak,W,3,3,5,
22I,Shuifu,水府,water palace,B,4,4,4,labels INTERCHANGED with Sidu
22K,Sidu,四瀆,four rivers,B,4,4,4,labels INTERCHANGED with Shuifu
21A,Shen,參,warrior-hunter,M,10,10,5,NO LABEL on the map; Fa the dagger unlabelled too
19P,Jiuliu,九斚,nine flags,B,9,9,5,NO LABEL on the map
21C,Yujing,玉井,jade well,R,4,4,5,
22M,Yeji,野雞,pheasant cock,R,1,1,5,
22L,Junshi,軍市,soldiers' market,R,13,11,5,
21D,Ping,屏,toilet screen,W,2,2,2,labelled but NOT AT ITS PLACE; should be S of Junjing
21E,Junjing,軍井,soldiers' well,B,4,4,2,
21F,Ce,厕,toilet with a shed,W,4,4,5,
22P,Zhangren,丈人,husband man,B,2,2,5,should be more S of Ce and Junjing
22O,Zi,子,son,W,2,2,5,should be more S of Ce and Junjing
