ra,dec,mag
230.203,71.828,3.00
222.719,74.151,2.07
216.869,75.688,4.25
212.263,77.535,4.80
201.995,78.633,5.74
222.090,82.593,5.63
192.396,83.407,5.38
183.032,77.609,5.14
194.678,75.468,6.00
188.432,69.784,3.85
187.592,69.222,5.01
281.438,74.056,5.25
275.196,71.325,4.22
264.237,68.642,4.77
257.215,65.708,3.17
246.011,61.494,2.73
240.695,58.444,4.01
231.238,58.960,3.29
211.145,64.370,3.67
188.716,70.022,4.95
172.893,69.338,3.82
160.767,69.081,5.01
145.770,72.263,5.15
124.837,75.751,5.55
104.899,76.982,4.55
80.792,79.173,5.08
228.451,67.488,5.15
224.465,65.921,4.63
232.826,64.181,5.74
236.635,62.620,5.19
230.672,63.375,5.72
230.648,62.061,5.99
231.977,60.671,5.90
274.615,72.860,3.55
265.453,72.246,4.57
267.303,76.873,5.02
277.435,77.547,5.65
269.940,79.959,5.74
259.865,80.136,5.74
245.472,69.113,5.26
247.020,68.756,4.94
250.230,64.595,4.84
241.616,67.788,5.44
253.802,65.116,4.88
210.495,68.680,6.34
213.044,69.450,5.18
13.516,83.711,5.59
52.828,84.959,5.62
36.703,89.268,1.97
262.990,86.567,4.35
251.441,82.036,4.21
235.980,77.795,4.29
321.112,80.529,5.97
311.951,80.566,5.36
307.208,81.011,5.96
306.979,81.417,5.38
310.561,82.523,5.75
318.347,81.229,6.12
16.740,86.261,4.24
302.203,77.703,4.38
290.372,79.612,6.06
307.868,74.961,5.18
316.338,78.116,5.91
287.211,76.604,5.11
325.345,71.277,4.55
329.898,73.238,5.04
322.151,70.558,3.23
332.412,72.340,4.79
338.719,73.634,5.08
346.966,75.400,4.41
354.920,77.586,3.21
18.690,87.153,6.20
351.159,87.301,5.56
333.020,86.093,5.27
342.703,85.332,5.89
343.241,84.338,4.70
341.799,83.137,4.77
337.464,78.832,5.45
338.098,76.230,5.70
339.240,75.369,5.80
319.527,62.568,2.45
330.766,64.596,4.26
336.773,65.133,5.52
342.479,66.245,3.50
345.865,67.206,5.25
349.603,68.108,4.75
30.912,72.413,3.95
39.544,72.813,5.17
47.965,74.425,4.85
145.630,69.263,5.72
143.687,69.802,4.54
137.586,67.167,4.80
135.657,67.623,4.74
130.103,64.318,4.59
128.691,65.161,5.47
290.155,65.700,4.60
300.689,67.856,4.51
296.957,70.254,3.84
288.049,67.628,3.07
283.544,71.282,4.82
289.035,73.318,4.45
73.512,66.340,4.26
94.713,69.356,4.76
104.315,58.467,4.35
89.828,54.333,3.72
80.856,57.565,5.24
75.859,60.448,4.03
74.336,53.749,4.43
76.686,51.661,4.98
268.320,56.844,3.73
262.976,55.150,4.86
262.617,52.297,2.79
269.156,51.497,2.24
264.870,46.005,3.82
195.107,66.603,5.37
191.813,62.779,5.88
207.857,64.725,4.58
202.169,59.933,5.40
217.964,60.219,6.26
218.125,55.403,5.74
160.480,68.452,5.74
155.319,68.760,5.88
127.666,60.757,3.35
137.649,63.536,4.67
142.796,63.052,3.65
147.955,59.094,3.78
143.767,51.871,3.17
137.298,51.616,4.46
160.629,65.743,5.12
156.041,65.574,4.94
157.653,64.276,6.07
154.919,48.437,6.00
158.747,57.069,5.16
157.771,55.993,4.82
159.829,53.697,5.55
163.435,54.589,5.12
162.842,56.580,5.66
160.919,57.218,5.79
167.447,44.508,3.00
168.921,52.753,6.51
164.835,51.884,6.22
169.222,49.480,5.88
174.498,50.628,6.14
176.587,47.769,3.69
203.684,49.006,4.68
199.579,49.675,5.14
201.553,46.035,5.88
214.194,46.031,4.18
176.723,55.640,5.27
172.491,56.750,6.29
175.121,57.966,6.35
178.988,56.599,5.83
166.036,61.764,1.81
165.407,56.370,2.34
178.392,53.691,2.41
183.788,57.030,3.32
193.435,55.963,1.76
200.905,54.933,2.23
206.952,49.319,1.85
201.230,54.994,3.99
216.438,51.995,4.04
214.128,51.335,4.75
213.335,51.794,4.53
184.998,-0.658,3.89
190.638,-1.471,2.74
194.071,3.417,3.39
195.645,10.952,2.85
197.666,17.483,4.32
177.406,1.863,3.59
170.317,6.034,4.05
170.929,10.558,4.00
168.582,15.458,3.33
168.472,20.571,2.56
185.194,3.335,4.97
191.492,9.704,5.65
190.441,10.268,4.88
191.444,7.672,5.22
194.746,17.397,4.76
193.050,17.076,6.32
191.657,16.571,5.12
198.296,27.559,4.23
193.340,21.256,4.89
188.784,18.369,5.03
185.221,17.761,4.72
184.031,14.910,5.09
176.299,8.266,4.84
176.472,6.594,4.04
180.218,6.625,4.65
181.383,8.712,4.12
177.297,16.262,6.05
177.451,14.613,2.14
178.915,15.646,5.53
177.200,14.282,5.90
177.781,12.269,6.37
181.055,21.461,5.89
177.052,20.220,4.50
175.220,21.369,5.26
194.096,38.283,5.61
168.810,23.099,4.56
175.269,34.339,5.31
177.476,34.929,5.73
180.451,36.071,5.59
186.499,39.031,5.01
188.775,41.252,4.24
184.149,33.102,4.99
184.391,28.924,5.71
186.769,28.298,4.35
186.606,27.272,4.92
186.752,26.829,4.98
187.236,25.918,5.29
187.757,24.570,5.47
188.397,24.286,6.28
186.088,26.100,5.17
185.631,25.849,4.78
185.567,24.775,6.21
185.109,26.659,5.52
184.763,26.012,6.44
184.096,23.948,4.93
185.131,25.995,6.16
187.370,24.108,5.47
186.290,23.941,6.03
174.237,-0.839,4.30
172.572,-2.997,4.77
169.205,-3.639,4.45
169.303,2.062,5.18
166.864,1.986,5.52
165.454,-2.472,4.73
163.935,24.755,4.30
165.586,20.166,4.42
161.652,14.218,5.49
162.316,10.554,5.32
161.477,30.695,5.36
160.798,26.343,5.51
160.900,23.185,5.08
161.566,18.906,5.50
135.041,48.120,3.12
135.926,47.177,3.57
154.358,42.930,3.45
155.621,41.487,3.06
169.631,33.084,3.49
169.727,31.739,4.33
258.766,24.896,3.12
262.677,26.105,4.41
266.734,27.992,3.42
271.886,28.760,3.84
281.419,20.668,4.19
286.355,13.898,2.99
284.041,4.194,4.62
275.525,-2.646,3.23
269.760,-9.732,3.32
264.411,-15.376,3.54
257.579,-15.760,2.43
247.593,21.495,2.78
245.498,19.137,3.74
242.032,17.049,5.00
238.997,16.125,3.85
236.521,15.437,3.65
233.727,10.538,3.80
236.018,6.410,2.63
237.658,4.455,3.71
243.603,-3.643,2.73
244.551,-4.707,3.23
249.285,-10.576,2.54
270.765,-8.167,4.77
270.065,-3.674,4.62
262.230,0.323,5.41
259.165,-0.422,4.72
261.691,-5.071,4.53
264.466,-8.111,4.58
260.191,-12.848,4.32
255.280,-4.195,4.82
265.883,4.510,2.76
266.982,2.734,3.75
271.319,2.848,4.03
270.161,2.935,3.93
270.433,1.310,4.42
270.065,4.373,4.79
271.823,8.723,4.64
271.860,9.535,3.71
272.191,20.817,4.37
270.374,21.582,4.26
271.957,26.092,5.83
268.853,26.048,5.47
263.693,12.640,2.08
258.664,14.378,2.78
253.708,20.958,5.39
253.886,18.429,5.35
255.773,14.115,4.97
256.326,12.745,4.89
248.217,11.517,4.84
246.339,14.055,4.57
254.524,9.379,3.19
253.522,10.178,4.39
251.459,8.577,5.15
252.562,7.251,5.48
251.951,5.261,5.22
248.143,5.521,5.63
252.860,1.221,5.51
256.326,0.824,6.00
261.628,4.138,4.34
236.009,32.519,5.57
233.241,31.362,4.14
232.032,29.074,3.66
233.623,26.747,2.22
235.731,26.277,3.81
237.431,26.091,4.59
239.428,26.900,4.14
240.377,29.854,4.98
240.346,33.583,5.39
250.707,38.953,3.48
246.350,37.394,5.53
242.261,36.367,4.73
237.812,35.783,4.79
234.851,36.638,4.64
231.190,37.347,4.31
225.506,40.401,3.49
276.067,39.509,5.11
274.973,36.050,4.33
269.062,37.248,3.86
259.333,33.102,4.80
255.400,33.568,5.27
255.092,30.917,3.92
250.518,31.478,2.81
245.587,33.813,5.20
245.565,30.853,4.86
258.774,36.808,3.16
259.437,37.268,4.64
260.938,37.143,4.15
201.314,-11.150,0.98
203.774,-0.613,3.38
201.081,-5.151,5.76
203.029,-6.240,4.68
205.872,3.564,5.35
203.517,3.668,4.92
197.500,-5.527,4.38
207.420,21.258,4.92
205.266,22.505,5.63
205.186,19.947,5.73
201.909,-15.981,4.76
197.979,-16.095,5.04
202.452,-23.285,6.40
199.704,-23.157,2.99
208.915,-47.272,2.55
220.494,-47.379,2.30
218.894,-42.146,2.33
211.904,-36.183,2.06
200.303,-36.681,2.75
197.904,-43.361,5.24
190.483,-48.959,2.20
189.528,-48.539,3.85
187.028,-50.226,3.91
186.650,-51.447,4.82
207.389,-41.680,3.41
207.416,-42.467,3.47
209.579,-42.094,3.83
211.523,-41.172,4.36
210.981,-60.364,0.61
222.637,-61.008,-0.01
207.972,-32.983,4.32
207.380,-34.429,4.19
206.621,-32.991,4.23
215.045,-43.062,5.55
215.771,-39.504,4.41
213.740,-41.831,5.61
216.541,-45.216,4.56
215.158,-45.160,4.78
214.858,-46.057,3.55
209.684,-44.796,3.87
210.429,-45.596,4.34
209.155,-46.560,5.82
202.768,-39.403,3.90
201.453,-39.734,5.11
201.739,-41.498,5.69
213.221,-10.325,4.18
214.013,-5.849,4.07
217.102,-2.227,4.81
214.784,-13.382,4.52
214.334,19.904,-0.05
208.706,-1.495,5.16
205.437,-8.718,5.03
206.492,-12.429,5.50
212.709,-16.298,4.93
213.868,-18.197,5.53
214.684,-18.703,5.86
216.224,-24.800,5.34
221.333,16.983,4.60
220.178,16.415,4.49
220.268,13.733,3.78
208.694,18.527,2.68
206.997,17.437,4.50
207.404,15.783,4.05
222.669,-27.938,4.42
221.922,-26.084,5.23
217.054,-29.483,4.97
215.856,-27.712,4.78
222.759,-16.017,2.75
228.069,-19.780,4.54
233.857,-14.792,3.91
229.287,-9.375,2.61
225.745,2.087,4.39
218.073,38.253,3.04
221.267,27.067,2.35
218.592,29.697,4.47
218.000,30.328,3.57
218.185,22.245,5.91
212.609,25.113,4.82
209.666,21.711,5.76
214.992,16.285,4.84
214.363,15.261,5.84
213.684,13.946,6.45
213.616,12.979,5.53
213.720,10.160,5.29
214.779,13.016,5.41
226.046,-25.266,3.25
223.965,-20.792,5.72
223.588,-24.632,5.27
235.657,-49.481,6.02
237.941,-47.049,6.00
240.781,-49.233,4.65
237.750,-25.742,4.63
238.409,-25.318,4.59
239.894,-41.738,4.99
220.941,-35.110,4.06
223.222,-37.797,5.02
220.503,-37.782,4.01
224.799,-42.096,3.13
224.650,-43.120,2.68
222.922,-43.566,4.32
227.220,-45.270,4.07
226.292,-47.044,3.91
228.138,-52.074,3.41
228.037,-48.720,3.88
224.150,-47.871,5.62
223.928,-33.855,5.32
225.756,-32.636,5.45
226.648,-30.908,5.97
228.660,-31.520,4.91
229.461,-30.147,4.35
230.493,-36.230,3.57
230.797,-36.851,4.54
231.356,-38.729,4.60
230.352,-40.639,3.22
234.586,-42.588,4.34
235.383,-44.565,4.64
232.355,-46.731,5.26
241.614,-45.187,4.73
235.683,-37.419,5.23
234.939,-34.407,4.66
235.681,-34.699,4.75
211.976,43.865,5.13
241.362,-19.796,2.56
240.087,-22.608,2.29
239.718,-26.105,2.89
239.227,-29.205,3.87
241.706,-20.661,3.93
241.834,-20.852,4.31
243.003,-19.452,4.00
246.034,-20.020,4.48
246.758,-18.448,4.22
247.802,-16.599,4.29
250.401,-17.742,4.91
250.463,-19.940,5.55
248.026,-21.479,4.45
246.399,-23.438,4.57
241.114,-11.363,4.84
239.552,-14.273,4.95
238.419,-16.778,4.13
235.499,-19.641,4.75
239.650,-24.823,5.43
238.889,-26.255,5.63
238.631,-27.329,6.15
245.301,-25.586,2.90
247.356,-26.424,1.06
248.974,-28.208,2.82
245.971,-39.194,5.37
249.087,-35.260,4.18
247.851,-34.698,4.24
242.862,-41.074,5.86
240.038,-38.387,3.42
241.655,-36.791,4.22
245.625,-43.908,5.89
243.833,-47.355,5.13
246.803,-47.547,4.46
247.926,-41.817,5.31
249.096,-42.858,5.46
251.183,-40.832,5.64
252.809,-34.201,2.29
252.972,-38.040,3.00
253.499,-42.361,4.70
258.027,-43.135,3.32
264.327,-42.997,1.86
266.896,-40.125,2.99
265.625,-39.021,2.39
263.406,-37.093,1.62
262.693,-37.285,2.70
253.090,-38.009,3.56
269.199,-44.335,4.85
272.816,-45.941,4.52
271.663,-50.088,3.65
265.041,-49.351,4.76
263.928,-46.492,4.56
262.852,-23.953,4.78
261.593,-24.133,4.16
260.506,-24.991,3.27
259.029,-26.190,4.33
267.445,-37.053,3.19
271.475,-30.359,2.98
275.236,-29.819,2.72
276.060,-34.340,1.79
274.465,-36.702,3.10
276.752,-45.949,3.49
276.723,-48.097,5.44
277.132,-48.988,4.10
271.216,-35.889,5.98
273.440,-21.058,3.84
277.011,-25.354,2.82
281.393,-26.991,3.17
283.811,-26.278,2.05
286.756,-27.580,3.32
285.659,-29.881,2.60
284.419,-21.102,3.52
286.141,-21.721,3.76
287.441,-21.010,2.88
289.413,-18.949,4.88
290.428,-17.855,3.92
290.431,-15.953,4.52
278.809,-8.130,3.85
280.566,-9.053,4.70
280.872,-8.279,4.88
281.887,-5.694,5.38
281.796,-4.742,4.22
284.243,-5.832,4.83
285.429,-5.725,4.02
286.569,-4.850,3.43
285.723,-3.702,5.40
287.329,-37.870,4.11
286.561,-36.962,4.23
284.741,-37.067,4.83
284.165,-37.335,5.36
280.945,-38.304,5.11
278.347,-38.718,5.67
278.074,-39.690,5.16
278.360,-42.305,4.62
279.912,-43.171,5.42
282.198,-43.673,5.46
284.084,-42.700,5.35
285.751,-42.079,4.74
287.065,-40.487,4.57
287.505,-39.328,4.10
299.481,-15.458,5.01
295.604,-16.121,5.06
269.663,-28.757,5.99
269.161,-28.059,5.76
268.725,-24.886,6.18
269.950,-23.798,4.74
272.927,-23.691,4.96
275.379,-24.914,6.19
274.511,-27.042,4.66
272.011,-28.446,4.55
284.608,-31.018,6.09
286.103,-31.040,5.49
298.878,-26.326,4.70
299.724,-26.205,4.84
300.651,-27.715,4.43
299.233,-27.165,4.54
295.906,-37.532,6.14
293.533,-40.034,5.89
292.303,-43.404,5.70
293.348,-45.263,5.59
298.804,-41.887,4.12
297.952,-39.870,5.32
299.931,-35.267,4.37
289.914,-35.417,5.59
290.656,-44.451,3.96
300.200,-45.115,5.80
277.771,-32.972,5.37
305.235,-14.786,3.05
306.826,-18.208,5.08
307.465,-18.554,5.94
307.221,-17.811,4.77
305.160,-12.754,4.77
304.491,-12.546,3.58
304.845,-19.115,5.28
304.492,-21.801,5.86
303.319,-26.967,5.73
307.377,-22.380,6.13
308.216,-24.928,6.35
306.357,-28.665,5.86
309.851,-23.940,6.36
310.347,-25.991,6.29
310.302,-31.576,5.75
305.599,-42.020,5.60
311.564,-39.188,5.48
306.837,-37.362,6.24
315.754,-38.592,5.32
313.397,-39.775,5.34
312.756,-37.907,5.52
321.519,-37.825,5.64
318.314,-36.425,5.97
318.175,-39.384,5.25
298.811,6.581,3.71
297.500,8.729,0.76
296.559,10.614,2.72
281.080,39.648,4.67
279.141,38.680,0.03
281.180,37.596,4.34
295.018,18.021,4.39
296.849,18.530,3.68
295.259,17.488,4.39
299.665,19.484,3.51
300.814,18.508,5.99
300.013,17.521,5.33
301.175,17.217,5.80
300.873,16.034,5.73
303.548,15.177,4.94
293.445,7.435,4.45
291.283,3.086,3.36
294.798,5.399,5.18
291.630,0.339,4.64
294.180,-1.279,4.36
298.116,1.008,3.87
302.813,-0.824,3.24
307.387,-2.877,4.91
307.986,-9.892,5.66
