plate,lon,lat,rlon,rlat,dx,dy
Kowno,24.0,55.0,23.9036,54.8985,-6,24
Wilna,25.3,54.7,25.2797,54.6872,-4,26
Smorgoni,26.4,54.4,26.3958,54.4783,-14,-12
Molodezno,26.8,54.3,26.8500,54.3167,-12,20
Gloubokoe,27.7,55.2,27.6906,55.1372,-26,-14
Minsk,27.6,53.9,27.5590,53.9006,-12,-48
Studienska,28.5,54.3,28.4333,54.3572,-24,26
Polotzk,28.7,55.5,28.7861,55.4850,6,-12
Bobr,29.2,54.4,29.2731,54.3097,8,12
Witebsk,30.2,55.3,30.2049,55.1904,-12,-14
Orscha,30.4,54.5,30.4172,54.5081,-10,20
Mohilow,30.4,53.9,30.3313,53.9007,-12,-48
Smolensk,32.0,54.8,32.0401,54.7818,-14,22
Dorogobouge,33.2,54.9,33.3000,54.9167,-24,20
Wizma,34.3,55.2,34.2969,55.2114,-10,22
Chjat,34.4,55.5,34.9833,55.5500,-8,-14
Mojaisk,36.0,55.5,36.0281,55.5053,-14,-12
Moscou,37.6,55.8,37.6173,55.7558,-30,-22
Tarantino,36.6,55.3,36.7167,55.1000,6,4
Malo-jarosewli,36.5,55.0,36.4667,55.0167,6,4
