wheel,month,label,disease,wounds,other
1,Jul 1854,JULY,150.0,0.0,9.6
1,Aug 1854,AUGUST,328.5,0.4,11.9
1,Sep 1854,SEPTEMBER,312.2,32.1,27.7
1,Oct 1854,OCTOBER,197.0,51.7,50.1
1,Nov 1854,NOVEMBER,340.6,115.8,42.8
1,Dec 1854,DECEMBER,631.5,41.7,48.0
1,Jan 1855,"JANUARY
1855",1022.8,30.7,120.0
1,Feb 1855,FEBRUARY,822.8,16.3,140.1
1,Mar 1855,"MARCH
1855.",480.3,12.8,68.6
1,Apr 1854,"APRIL
1854",1.4,0.0,7.0
1,May 1854,MAY,6.2,0.0,4.6
1,Jun 1854,JUNE,4.7,0.0,2.5
2,Jul 1855,JULY,107.5,37.7,9.3
2,Aug 1855,AUGUST,129.9,44.1,6.7
2,Sep 1855,SEPTEMBER,47.5,69.4,5.0
2,Oct 1855,OCTOBER,32.8,13.6,4.6
2,Nov 1855,NOVEMBER,56.4,10.5,10.1
2,Dec 1855,DECEMBER,25.3,5.0,7.8
2,Jan 1856,JANUARY,11.4,0.5,13.0
2,Feb 1856,FEBRUARY,6.6,0.0,5.2
2,Mar 1856,MARCH,3.9,0.0,9.1
2,Apr 1855,"APRIL
1855",177.5,17.9,21.2
2,May 1855,MAY,171.8,16.6,12.5
2,Jun 1855,JUNE,247.6,64.5,9.6
