id,strokes,medians
GANG U+7F61,10,3 228 155 262 181 315 389 10 296 162 312 173 577 126 660 115 715 115 730 123 752 152 710 287 692 324 692 350 4 401 183 424 283 432 307 444 320 4 543 154 570 176 541 292 527 298 3 335 366 354 356 661 305 6 320 461 350 469 404 470 610 438 640 436 665 444 6 471 490 499 507 510 522 501 749 503 763 520 779 4 540 636 559 625 657 607 711 605 4 281 606 325 652 340 783 327 795 6 108 839 179 860 402 816 610 803 785 806 894 849
JI   U+6025,9,7 466 54 485 79 492 104 467 143 378 251 319 307 268 343 9 458 209 483 196 562 177 605 176 624 184 621 206 555 291 513 338 494 348 8 297 396 351 399 534 363 620 339 663 340 702 376 645 538 618 554 4 306 508 339 510 552 478 585 485 5 290 618 321 625 608 585 654 586 682 595 3 229 704 210 777 164 874 13 330 702 343 720 366 783 389 817 418 844 460 871 505 889 584 905 714 906 750 893 767 880 741 826 686 749 3 477 674 536 722 563 761 4 725 645 833 689 860 709 892 752
RU   U+5982,6,9 338 103 362 123 383 160 325 408 261 612 278 631 475 757 494 782 504 811 9 450 365 468 379 486 410 442 569 392 675 354 727 300 776 241 815 164 846 5 78 472 133 495 217 469 424 423 441 406 4 558 443 582 464 595 487 636 720 9 613 446 624 454 640 455 793 412 822 418 844 434 854 446 820 592 792 617 5 656 687 674 670 779 650 830 648 858 656
LU   U+5F8B,9,6 317 113 335 138 340 160 299 220 203 319 145 359 7 306 296 335 335 337 345 325 368 220 518 110 634 68 667 4 268 498 290 560 278 805 282 866 7 441 228 503 230 719 181 752 187 780 215 731 374 704 394 5 404 344 449 351 833 289 872 288 930 302 5 432 463 469 466 695 423 738 422 762 429 5 447 579 469 584 516 581 718 538 768 543 5 370 708 425 714 676 671 839 652 920 669 5 548 64 573 70 609 104 600 286 595 942
LING U+4EE4,5,9 461 67 484 88 494 118 456 198 388 302 302 407 231 476 142 547 76 586 6 510 181 509 194 608 304 733 426 783 464 975 496 3 411 408 486 460 508 491 12 261 613 286 626 323 631 540 572 579 567 604 571 632 595 637 603 634 612 515 772 512 784 502 783 4 397 743 505 842 530 884 537 922
YU   U+96E8,8,6 312 205 343 213 396 214 520 199 698 166 747 170 6 162 394 196 429 209 475 217 597 218 754 232 811 14 232 443 246 425 259 421 510 377 813 343 845 360 855 370 858 389 840 629 826 726 808 796 780 831 679 791 661 777 6 465 230 498 249 511 275 507 588 499 690 502 764 3 318 500 372 519 405 543 3 310 631 373 661 396 682 3 598 466 670 485 697 502 3 598 608 663 634 687 654
WU   U+4E94,4,5 304 206 343 215 400 214 704 165 753 167 6 460 237 489 267 483 313 391 705 375 726 362 732 8 273 465 308 472 345 470 616 424 654 433 685 466 619 700 592 721 7 63 782 138 803 419 751 654 739 855 747 905 762 966 790
GUI  U+9B3C,9,5 434 51 447 59 467 90 373 219 350 228 4 242 254 271 276 286 305 343 537 8 296 255 329 263 617 205 680 202 702 208 735 248 699 340 658 481 4 387 381 534 346 578 340 600 345 4 364 514 380 503 613 465 635 455 10 456 258 494 282 497 296 472 445 453 520 407 629 348 719 274 791 214 832 139 870 14 506 539 529 561 546 591 536 658 533 740 541 809 559 840 598 863 674 876 762 876 835 869 912 846 932 832 924 674 8 696 521 721 551 695 617 652 686 643 720 676 720 794 686 807 690 3 774 603 832 675 844 720
YUN  U+96F2,12,5 387 133 409 139 475 138 623 105 684 106 5 224 251 233 269 235 299 188 397 183 450 10 266 286 286 295 312 294 442 268 747 225 806 223 821 228 845 243 857 267 769 358 4 480 162 512 184 518 202 509 497 3 343 345 385 361 417 385 3 328 452 385 472 410 490 3 618 319 679 337 702 353 3 613 424 676 446 702 464 4 358 576 394 576 612 536 657 542 5 213 683 263 692 498 655 725 631 807 650 13 485 695 439 713 407 760 356 812 351 820 367 830 363 867 580 816 597 817 607 809 619 813 636 803 657 808 4 623 723 726 844 747 886 753 925
LEI  U+96F7,13,4 363 125 429 132 641 96 683 98 5 204 248 216 277 214 299 176 377 168 436 8 248 280 260 290 282 290 446 260 783 219 824 235 842 261 766 345 5 479 152 513 181 513 346 502 482 505 532 3 313 371 365 383 400 403 3 306 497 363 507 382 519 3 593 325 663 343 699 370 3 589 444 667 465 694 494 5 250 602 274 619 299 655 325 832 347 907 12 296 602 307 611 346 619 527 596 660 570 698 570 717 579 741 607 740 618 707 833 684 875 683 934 4 401 723 460 729 574 703 620 704 5 476 620 503 640 510 663 508 803 493 821 3 364 870 375 857 639 831
HAO  U+865F,13,4 167 150 192 168 201 183 236 313 9 224 150 234 157 326 130 343 128 357 134 377 155 375 163 356 219 330 236 4 253 290 263 279 325 261 381 264 6 70 447 87 452 131 449 317 388 344 382 376 384 12 186 463 200 470 207 486 185 563 221 565 276 551 306 558 324 578 294 723 261 794 227 819 155 772 4 601 54 641 91 637 231 620 246 3 677 138 749 116 801 112 7 476 293 498 303 750 237 810 227 827 235 842 253 787 321 9 414 280 443 309 449 339 441 491 424 600 407 672 382 742 343 820 287 899 4 511 426 573 425 702 384 733 383 10 582 316 604 342 605 463 613 486 636 508 694 521 739 515 767 503 785 486 779 409 8 532 608 550 621 563 641 554 701 537 760 517 795 481 836 409 881 12 660 587 688 623 679 749 686 824 694 844 723 867 767 880 826 883 881 875 921 854 933 838 944 712
