name,x,y,kind
Seltibériens,118,148,3
ESPAGNE,210,178,0
Hergètes,300,208,3
Bargusiens,300,232,3
Bouches de l'Èbre,196,328,1
Tortose,250,260,1
Terragone,322,316,1
Barcelone,390,348,1
Girone,500,322,1
Emporium,566,348,1
Collioure,596,328,1
Perpignan,578,300,1
Narbone,668,276,1
GAULE  TRANSALPINE,700,190,0
Pt St Esprit,800,284,1
Orange,862,316,1
Avignon,812,338,1
Bouches du Rhône,748,356,1
Marseille,810,428,1
Toulon,830,480,1
Nice,966,522,1
LIGURIE,962,480,0
Lyon,1004,178,1
Vienne,970,226,1
Allobroges,962,208,3
Grenoble,1006,310,1
St J. de Maurienne,1006,340,1
Briançon,1042,384,1
le Mt Cenis,1058,358,1
Suze,1108,396,1
